,CUST_ID,CUST_TYPE,CUST_NAME
608,1184,1,HIGH COLLECTION SHOP
609,1185,1,SMITTEN CREATIVE STUDIO
610,1186,1,AMBIANCE SYETEMS
611,1187,1,INTERLENS
612,1188,1,MAEF
613,1189,1,YKK MAROC
614,1190,1,INTERNATIONAL WOOD
615,1191,1,KRIKEZ FASHION
616,1192,1,NOGETEX
617,1193,1,MATEAS
618,1194,1,ATLAS COUSCOUS
619,1195,1,RECTANGLE
620,1196,1,GALENICA AL MAGHREB
621,1197,1,ESSAE
622,1198,1,DIAGONE
623,1199,1,CASAROP
624,1200,1,SIST
625,1201,1,IFIAG
626,1202,1,BAGHDAD PIECES AUTO
627,1203,1,OB ELECTRONIQUE
628,1204,1,FOOD PACK
629,1205,1,LASER TOLERIE PLUS
630,1206,1,HIRSCHMANN KENITRA
631,1207,1,INSTITUT PASTEUR
632,1208,1,SEHI
633,1209,1,TOP LENS
634,1210,1,MSOP SARL
635,1211,1,"C,B,C,B SARL"
636,1212,1,MAISON BERBERE TOUDGHA
637,1213,1,AUTOMATION TECHNIQUE
638,1214,1,CMS ELECTRONIQUE
639,1215,1,TOP BUSINESS
640,1216,1,FAYA MODA
641,1217,1,SOBO MODE
642,1218,1,ABOPTIQUE
643,1219,1,SAREX
644,1220,1,MACHA S.A.R.L
645,1221,1,CIELEC
646,1222,1,TELEM SARL
647,1223,1,EPICURIA
648,1224,1,STE L'EMOTION CUIR
649,1225,1,DYECHEM
650,1226,1,MAC STAR
651,1227,1,OFFSET POLYPLAST
652,1228,1,TIMAR INVEST
653,1229,1,TRIBOLOGIE
654,1230,1,HC HAKAM
655,1231,1,COLGATE PALMOLIVE
656,1232,1,BHF ATLAS PEINTURES
657,1233,1,CHIBA INDUSTRIE
658,1234,1,BITUMA
659,1235,1,TECMOM
660,1236,1,CAUTCHOUTRIE DES ZENATAS
661,1237,1,TECHNILAB HTDS
662,1238,1,DIMAPLAST SARL
663,1239,1,CHROMA
664,1240,1,ED SKULL
665,1241,1,NATURA VERDE
666,1242,1,IMEPSA MAROC
667,1243,1,AIR METROLOGIE
668,1244,1,TISSIR COLOR
669,1245,1,TERRANOVA INDUSTRIES
670,1246,1,TOP NEGOCE
671,1247,1,STE BRAGA SARL
672,1248,1,COMPANIE INDUSTRIELLE DES FIBRES
673,1249,1,TEAMAROC
674,1250,1,TANJAFLEX
675,1251,1,CRISTAL DE LA MAISON
676,1252,1,MEDIDIS
677,1253,1,SOMAVER
678,1254,1,INDUVER (PROTEX - MAROC S.A )
679,1255,1,MAREMBAL
680,1256,1,SLEEVETIK
681,1257,1,ATLAS OLIVE
682,1258,1,MAPAF
683,1259,1,AFFUT PRECIS MAROC
684,1260,1,TRAREM
685,1261,1,GRAPHIFORM MAROC
686,1262,1,ALEX TECHNOLOGIES
687,1263,1,LIBRAIRIE PAPETERIE DSM
688,1264,1,IDEMCO
689,1265,1,GREIF PACKAGING MOROCCO
690,1266,1,MULTILENS
691,1267,1,10 RAJEB
692,1268,1,Groupe CMCP
693,1269,1,MED PAPER
694,1270,1,SECURITY DOCUMENTS
695,1271,1,BELTRANSFO
696,1272,1,MDS AVIATION
697,1273,1,TECNUM
698,1274,1,AEROSPACE
699,1275,1,SODIMATEL
700,1276,1,CASABLANCA AERONAUTIQUE
701,1277,1,AERO 13 MAROC
702,1278,1,CDG Développement
703,1279,1,CENTRE REGIONAL D'INVESTISSEMENT DE CASA
704,1280,1,MIAMAR CONSTRUCTIONS SARL
705,1281,1,SEGEDEMA
706,1282,1,INES
707,1283,1,FLUIDRA MAROC
708,1284,1,TETOUAN SHORE
709,1285,1,EXPROM
710,1286,1,ALEA IMAGE LTD
711,1287,1,IKAYA
712,1288,1,ARTIVEST
713,1289,1,ZINCO
714,1290,1,STE A.DEVICO & CTS
715,1291,1,DEVELASCO ANTIQUITES
716,1292,1,MALU SERVICE
717,1293,1,PALAIS DE FES
718,1294,1,CHEZ BEL HAJ
719,1295,1,ETHNO ART GALLERY
720,1296,1,TRADITIONNEL ART GALLERY
721,1297,1,PALAIS RIMAL
722,1053,1,HERBOPARA
723,1054,1,NEW PERFECT TRADE
724,1055,1,FIBACO
725,1056,1,NAIT MBAREK
726,1057,1,KMK PARTNERS
727,1058,1,BAHJA EXPORT
728,1059,1,CLINIQUEST
729,1060,1,WAFA ASSISTANCE
730,1061,1,M P PARTS
731,1062,1,COMPAGNE GENERALE DES PARKING
732,1063,1,AVILMAR
733,1064,1,PASSION DES BIJOUX
734,1065,1,ISOLAB
735,1066,1,MABROUKI PRODUCT
736,1067,1,SFRM
737,1068,1,SIMAFIX
738,1069,1,AXANET SERVICES
